"yyyy-mm-ddTHH:MM:SSZ","OL_250","OL_500","OL_1000","OL_2000","OL_4000","OL_8000","OL_16000"
2022-04-25 12:00:00,83.9724375505752,92.2874337194742,83.000049558771,90.5192167705551,88.4817446717606,75.7705833490587,70.9992812757815
2022-04-25 12:02:00,90.3173597022611,86.7002918647321,85.1073058519431,90.7860785714996,86.3244500761871,79.0222860341748,70.2468516625108
2022-04-25 12:04:00,88.243849798371,85.0988169014457,82.161568449208,87.5753588945719,84.7760361836214,78.8806893306956,66.3288557454484
2022-04-25 12:06:00,86.135606921786,87.5981954662439,85.1244860072763,86.8354845279299,87.0048667061465,76.0881660135235,71.6323315044876
2022-04-25 12:08:00,89.1748687539656,86.846650364433,82.948908599925,87.19440671681,85.3116969397288,76.6027885346145,73.8007899653356
2022-04-25 12:10:00,88.0845887682286,85.825364753925,78.7041828038095,88.6893010520243,81.3891009688627,76.1729624214667,69.3804277351361
2022-04-25 12:12:00,86.9515582121231,86.5787205803729,82.6087435535439,87.7145930582779,80.8730510792299,80.3692522680768,73.9566452991816
2022-04-25 12:14:00,88.9667448137851,88.2177627795011,83.1778311253298,88.1442609416964,84.9555904019438,82.3989927803937,68.5504833270684
2022-04-25 12:16:00,89.8455568772751,83.4176544805565,82.2067447729822,83.0508560220478,82.1984161071104,77.9407794185218,71.5686127481191
2022-04-25 12:18:00,91.5339309069542,89.0679474633417,84.6663867247095,87.4062669476494,84.0980377620009,78.0233428743895,65.8046175530739
2022-04-25 12:20:00,91.0701283260636,86.5563637590338,87.0151058011729,85.6715435446934,86.1548610626349,76.2089717353914,70.3817226503124
2022-04-25 12:22:00,86.7864772482613,89.3266445696495,86.337710149445,90.6200144209971,81.6483563524625,74.7020825443368,73.3152508364231
2022-04-25 12:24:00,89.9041263565975,87.9243711799759,85.5864370936012,83.2776260209107,83.064222753479,75.7327730152779,73.8092413861843
2022-04-25 12:26:00,86.6821728188025,87.1392368360624,83.1585745825058,82.1316966067311,82.2748189595773,75.7419091408715,71.1128035535993
2022-04-25 12:28:00,91.7505333389047,89.0185497954443,84.6082418166551,87.2990382819014,80.652719569083,77.088570970607,69.9509656587285
2022-04-25 12:30:00,91.6264909609504,84.8749145087397,89.9843658602917,86.2495823377469,82.6602960179141,74.6923404416249,66.7492923555512
2022-04-25 12:32:00,91.1244734612328,88.9255064342811,86.453356407992,89.1180439137365,84.4468280439343,79.7079364743806,66.2111980586819
2022-04-25 12:34:00,91.7330747219357,89.3317868524731,93.2677908560295,86.7611705309661,85.6027783842675,79.8187403587278,69.2283818261249
2022-04-25 12:36:00,90.1619925516714,90.6531173251149,90.4219545132408,89.5869843587705,88.1666164841641,79.6704557663725,71.7803218597201
2022-04-25 12:38:00,91.9901682632641,88.3574488855199,85.8948307119797,88.0118284778953,85.6516019776328,82.3226910327669,72.2854362265948
2022-04-25 12:40:00,90.2955665525548,91.9186016579566,84.9325747659913,88.1656057232406,84.4689617559213,81.8844686564545,68.5830607106233
2022-04-25 12:42:00,90.5746760567235,92.7752167368609,89.4190691061043,89.8643335182161,85.0144760380801,81.5594351038972,67.459578148517
2022-04-25 12:44:00,93.8423602439727,85.508156614573,90.0175923294272,86.8272726636795,85.5312735930955,80.1780742009607,67.2937213031804
2022-04-25 12:46:00,93.922761646692,88.2004146764938,86.8669080060567,87.0009654035926,80.1351633401364,80.5439775336385,69.1010721897337
2022-04-25 12:48:00,93.3398448476405,89.2286827271066,89.7467903942069,88.9861655923132,88.4279163312894,81.0700754015993,70.6117456998736
